Column1|CUSEC=poblacion(4)+distrito(2)+mesa(3)|VotosObtenidos|Unnamed: 0|VotosCandidaturas|VotosBlanco|VotosNulos|codigo_prov|codigo_mun|distrito|Comunidad autónoma|Provincia|Código de provincia|Municipio|Código de municipio|Tipo de elemento|Renta media por persona|Renta media por hogar|%FO|VotosObtenidosPSOE|%PSOE|Poblacion_es|%FO_distritos|renta|fecha|elecciones
3950|0801509035|0|3950|621|5|3|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|9589.0|25604.0|0|286|46.05|188291|0.35|mid_income|2023-07-23|generales
3951|0801509036|3|3951|533|13|1|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|9857.0|24764.0|0.56|220|41.28|188291|0.35|low_income|2023-07-23|generales
3952|0801509037|0|3952|278|1|1|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|6060.0|18020.0|0|133|47.84|188291|0.35|low_income|2023-07-23|generales
3953|0801509038|1|3953|370|0|6|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|7053.0|22960.0|0.27|180|48.65|188291|0.35|low_income|2023-07-23|generales
3954|0801509042|0|3954|209|1|0|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|4497.0|16932.0|0|135|64.59|188291|0.35|low_income|2023-07-23|generales
3955|0801509043|2|3955|0839|6|0|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|10874.0|29541.0|0.24|420|50.06|188291|0.35|mid_income|2023-07-23|generales
3956|0801509044|1|3956|387|1|3|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|9389.0|24361.0|0.26|201|51.94|188291|0.35|low_income|2023-07-23|generales
3957|0801509045|4|3957|718|9|0|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|10305.0|27149.0|0.56|302|42.06|188291|0.35|mid_income|2023-07-23|generales
3958|0801509047|2|3958|380|1|6|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|08452.0|24273.0|0.53|181|47.63|188291|0.35|low_income|2023-07-23|generales
3959|0801509049|2|3959|595|3|4|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|9027.0|25485.0|0.34|285|47.9|188291|0.35|mid_income|2023-07-23|generales
3960|0801509052|0|3960|400|4|2|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|10125.0|25253.0|0|184|46|188291|0.35|mid_income|2023-07-23|generales
3961|0801509053|2|3961|431|7|3|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|9065.0|24381.0|0.46|202|46.87|188291|0.35|low_income|2023-07-23|generales
3962|0801509054|0|3962|521|3|3|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|10946.0|20903.0|0|240|46.07|188291|0.35|low_income|2023-07-23|generales
3963|0801509057|0|3963|511|2|08|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|11022.0|29789.0|0|227|44.42|188291|0.35|mid_income|2023-07-23|generales
3964|0801509058|3|3964|671|4|4|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|11812.0|30854.0|0.45|292|43.52|188291|0.35|mid_income|2023-07-23|generales
3965|0801509059|2|3965|561|2|1|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|11319.0|30256.0|0.36|246|43.85|188291|0.35|mid_income|2023-07-23|generales
3966|0801601001|2|3966|1194|9|17|08|08016|0801601|Cataluña|Barcelona|08|Bagà|08016|sección|13864.0|31798.0|0.17|389|32.58|2065|0.17|mid_income|2023-07-23|generales
3967|0801701001|4|3967|636|4|6|08|08017|0801701|Cataluña|Barcelona|08|Balenyà|08017|sección|11078.0|29122.0|0.63|210|33.02|3497|0.33|mid_income|2023-07-23|generales
3968|0801701002|0|3968|527|4|7|08|08017|0801701|Cataluña|Barcelona|08|Balenyà|08017|sección|11560.0|32260.0|0|152|28.84|3497|0.33|mid_income|2023-07-23|generales
3969|0801701003|2|3969|679|7|10|08|08017|0801701|Cataluña|Barcelona|08|Balenyà|08017|sección|||0.29|225|33.14|3497|0.33|Other|2023-07-23|generales
